Nombre,Ubicación,Facultad,Ordenador,CPU
UCR San Pedro,San José,Ingeniería,Computadora1,Intel Core i7
UCR Ciudad Universitaria,San José,Medicina,Computadora2,AMD Ryzen 5
UCR Golfito,Puntarenas,Artes,Computadora3,Intel Core i5
UCR Liberia,Guanacaste,Derecho,Computadora4,Intel Core i9
UCR Limón,Limón,Odontología,Computadora5,AMD Ryzen 7
UCR Heredia,Heredia,Educación,Computadora6,Intel Core i3
UCR Cartago,Cartago,Arquitectura,Computadora7,AMD Ryzen 9
UCR Puntarenas,Puntarenas,Psicología,Computadora8,Intel Core i5
UCR Alajuela,Alajuela,Administración,Computadora9,AMD Ryzen 7
UCR Turrialba,Cartago,Ingeniería,Computadora10,Intel Core i7
UCR San Ramón,Alajuela,Medicina,Computadora11,AMD Ryzen 5
UCR Nicoya,Guanacaste,Artes,Computadora12,Intel Core i9
UCR Pérez Zeledón,San José,Derecho,Computadora13,AMD Ryzen 7
UCR Guápiles,Limón,Odontología,Computadora14,Intel Core i3
UCR Desamparados,San José,Educación,Computadora15,AMD Ryzen 9
